[2025-07-09 13:21:32,406] 17 -INFO -Initiate the data ingestion
[2025-07-09 13:21:45,111] 84 -INFO -Performed train test split on the dataframe
[2025-07-09 13:21:45,112] 86 -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-09 13:21:45,112] 94 -INFO -Exporting train and test file path.
[2025-07-09 13:21:45,238] 103 -INFO -Exported train and test file path.
[2025-07-09 13:21:45,238] 20 -INFO -Data Initiation Completed
[2025-07-09 13:21:45,238] 23 -INFO -Initiate the data Validation
[2025-07-09 13:21:45,295] 30 -INFO -Required number of columns:2
[2025-07-09 13:21:45,305] 31 -INFO -Data frame has columns:31
[2025-07-09 13:21:45,585] 25 -INFO -Data Validation Completed
[2025-07-09 13:21:45,585] 27 -INFO -data Transformation started
[2025-07-09 13:21:45,585] 66 -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-07-09 13:21:45,585] 68 -INFO -Starting data transformation
[2025-07-09 13:21:45,655] 50 -INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-07-09 13:21:45,655] 56 -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-07-09 13:21:45,681] 32 -INFO -data Transformation completed
[2025-07-09 13:21:45,681] 34 -INFO -Model Training started 
[2025-07-09 13:22:07,070] 52 -INFO -Entered the save_object method of MainUtils class
[2025-07-09 13:22:07,115] 56 -INFO -Exited the save_object method of MainUtils class
[2025-07-09 13:22:07,115] 110 -INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_09_2025_13_21_29\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907192575406032, precision_score=0.9892224012892828, recall_score=0.9922206506364922), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9855491329479769, precision_score=0.9831136738056013, recall_score=0.9879966887417219))
[2025-07-09 13:22:07,115] 39 -INFO -Model Training artifact created
