[2025-07-09 13:13:01,648] 17 -INFO -Initiate the data ingestion
[2025-07-09 13:13:15,830] 84 -INFO -Performed train test split on the dataframe
[2025-07-09 13:13:15,830] 86 -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-09 13:13:15,831] 94 -INFO -Exporting train and test file path.
[2025-07-09 13:13:15,984] 103 -INFO -Exported train and test file path.
[2025-07-09 13:13:15,986] 20 -INFO -Data Initiation Completed
[2025-07-09 13:13:15,997] 23 -INFO -Initiate the data Validation
[2025-07-09 13:13:16,057] 30 -INFO -Required number of columns:2
[2025-07-09 13:13:16,058] 31 -INFO -Data frame has columns:31
[2025-07-09 13:13:16,428] 25 -INFO -Data Validation Completed
[2025-07-09 13:13:16,429] 27 -INFO -data Transformation started
[2025-07-09 13:13:16,429] 66 -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-07-09 13:13:16,429] 68 -INFO -Starting data transformation
[2025-07-09 13:13:16,513] 50 -INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-07-09 13:13:16,514] 56 -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-07-09 13:13:16,558] 32 -INFO -data Transformation completed
[2025-07-09 13:13:16,559] 34 -INFO -Model Training started 
[2025-07-09 13:13:31,776] 52 -INFO -Entered the save_object method of MainUtils class
[2025-07-09 13:13:31,801] 56 -INFO -Exited the save_object method of MainUtils class
[2025-07-09 13:13:31,801] 89 -INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_09_2025_13_13_00\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909637033671563, precision_score=0.9878220611916264, recall_score=0.9941253924845538), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9867428105241689, precision_score=0.9825345247766044, recall_score=0.9909873002867677))
[2025-07-09 13:13:31,803] 39 -INFO -Model Training artifact created
